download_url,document_url,title,date_uploaded,description,tag,category,language,privacy,total_views,slideshare_views,embed_views,total_likes,total_comments,total_downloads
https://www.slideshare.net/dwnld_file?s_title=smarter-sales-processincrm2015part1leadqualification,https://www.slideshare.net/slideshow/smarter-sales-processincrm2015part1leadqualification/47967886,Smarter Sales Process in Dynamics CRM 2015 - Part 1: Lead Qualification,2015-05-10 17:01:16 UTC,"Webcast notes from ""A Non-Developer's Guide to Smarter Sales Processes in Microsoft Dynamics CRM 2015"", as presented on MSDynamicsWorld.com on May 6th, 2015. This first part looks at the lead qualification process in Dynamics CRM and demonstrates a way how the process can be customized to support scenarios, where a new opportunity record should not be automatically created when qualifying a lead record. The customization tools used include branching Business Process Flow (BPF), Real-Time Workflows, Business Rules and Quick View Forms.","",presentation,en,public,37024,14613,22411,18,4,388
https://www.slideshare.net/dwnld_file?s_title=smarter-sales-process-in-dynamics-crm-2015-part-2-revenue-estimation,https://www.slideshare.net/slideshow/smarter-sales-process-in-dynamics-crm-2015-part-2-revenue-estimation/48395996,Smarter Sales Process in Dynamics CRM 2015 - Part 2: Revenue Estimation,2015-05-20 16:58:30 UTC,"Webcast notes from ""A Non-Developer's Guide to Smarter Sales Processes in Microsoft Dynamics CRM 2015"", as presented on MSDynamicsWorld.com on May 6th, 2015. The second part explores how the CRM 2015 calculated fields feature can be leveraged in simplifying the data entry and maintenance process for opportunity revenue estimates.","",presentation,en,public,21926,5259,16667,6,2,171
https://www.slideshare.net/dwnld_file?s_title=smarter-sales-process-in-dynamics-crm-2015-part-3-pipeline-development,https://www.slideshare.net/slideshow/smarter-sales-process-in-dynamics-crm-2015-part-3-pipeline-development/48959451,Smarter Sales Process in Dynamics CRM 2015 - Part 3: Pipeline Development,2015-06-03 19:47:23 UTC,"Webcast notes from ""A Non-Developer's Guide to Smarter Sales Processes in Microsoft Dynamics CRM 2015"", as presented on MSDynamicsWorld.com on May 6th, 2015. This third and final part demonstrates how we can customize CRM to show us a historical trend of how the sales pipeline has developed over time, by capturing data into a custom snapshot entity.","",presentation,en,public,22978,6820,16158,11,3,174
https://www.slideshare.net/dwnld_file?s_title=using-microsoft-social-engagement-together-with-dynamics-crm,https://www.slideshare.net/slideshow/using-microsoft-social-engagement-together-with-dynamics-crm/55222706,Using Microsoft Social Engagement Together with Dynamics CRM,2015-11-17 20:02:39 UTC,Webinar notes from MSDynamicsWorld.com session on 2015-11-17. http://msdynamicsworld.com/event/using-microsoft-social-engagement-together-dynamics-crm,"microsoft,microsoft dynamics crm,microsoft social engagement,crm,mse,social crm,social media monitoring",presentation,en,public,20708,9894,10814,16,12,155
https://www.slideshare.net/dwnld_file?s_title=dynamics-crm-in-2010-5-year-retrospective,https://www.slideshare.net/slideshow/dynamics-crm-in-2010-5-year-retrospective/56487845,Dynamics CRM in 2010 - 5 year retrospective,2015-12-28 12:40:12 UTC,"Looking back at what the world of Microsoft Dynamics CRM looked like in 2010, based on my writings in the Surviving CRM blog.","microsoft dynamics crm,dynamics crm,microsoft,blogging",presentation,en,public,8238,2823,5415,2,7,6
https://www.slideshare.net/dwnld_file?s_title=microsoft-flow-and-dynamics-365-jukka-niiranen-at-crm-saturday-oslo-20170826,https://www.slideshare.net/slideshow/microsoft-flow-and-dynamics-365-jukka-niiranen-at-crm-saturday-oslo-20170826/79258346,"Microsoft Flow and Dynamics 365 - Jukka Niiranen at CRM Saturday Oslo, 2017-08-26",2017-08-29 17:07:10 UTC,"My session at CRM Saturday Oslo looked at the positioning of Flow in the MS cloud stack, compared Flow to the traditional Dynamics 365 workflow engine and gave some guidance on how to administer Flows when deploying the business logic into production environments.","microsoft dynamics 365,microsoft flow,microsoft dynamics crm,crm saturday,logic apps",presentation,en,public,7302,3583,3719,14,26,190
https://www.slideshare.net/dwnld_file?s_title=microsoft-ignite-2018-in-30-minutes,https://www.slideshare.net/slideshow/microsoft-ignite-2018-in-30-minutes/120035818,Microsoft Ignite 2018 in 30 Minutes,2018-10-19 15:58:07 UTC,My presentation at Finnish Dynamics User Group (FDUG) meeting on 2018-10-18. What were the highlights of this year's Ignite conference for the Dynamics 365 professionals & how the Power Platform has taken the game to a whole new level. Includes links to Ignite session recordings from where much of the material in this presentation has been collected from.,"microsoft,ignite,microsoft dynamics 365,fdug,power platform",presentation,en,public,1120,595,525,2,1,30
https://www.slideshare.net/dwnld_file?s_title=elisa-dynamics-365-webinaari-26112018-tekoly-ja-analytiikkaa,https://www.slideshare.net/slideshow/elisa-dynamics-365-webinaari-26112018-tekoly-ja-analytiikkaa/124475230,Elisa Dynamics 365 -webinaari 26.11.2018: tekoälyä ja analytiikkaa,2018-11-30 09:45:38 UTC,Miten Microsoft AI for Sales -tekoäly toimii liiketoiminnan apuna yhdessä Dynamics 365:n kanssa? Miten Dynamics 365 for Marketing tuo uusia ulottuvuuksia markkinoinnin automaation hyödyntämiseen ja miten Microsoft Teams yhdessä Dynamics 365:n kanssa nostaa koko myyntiryhmän tuottavuuden uudelle tasolle?,"elisa,microsoft dynamics 365,ai,microsoft teams,dynamics 365 marketing",presentation,fi,public,326,301,25,1,3,4
https://www.slideshare.net/dwnld_file?s_title=demystifying-dynamics-365-power-platform-licensing,https://www.slideshare.net/slideshow/demystifying-dynamics-365-power-platform-licensing/130026524,Demystifying Dynamics 365 & Power Platform Licensing,2019-01-31 17:45:49 UTC,"My session at Dynamics Power 365 Saturday London 2019 on the Customer Engagement track. Covering the latest updates to Dynamics 365 CE licensing and comparing the options for how PowerApps, Flow and CDS may be licensed.","microsoft dynamics 365,power platform,powerapps,licensing,microsoft,365 saturday",presentation,en,public,11527,1925,9602,8,13,118
https://www.slideshare.net/dwnld_file?s_title=elisa-webinaari-mit-seuraava-microsoftin-business-applications-julkaisujuna-tuo-tullessaan,https://www.slideshare.net/slideshow/elisa-webinaari-mit-seuraava-microsoftin-business-applications-julkaisujuna-tuo-tullessaan/139545397,Elisa webinaari: Mitä seuraava Microsoftin Business Applications -julkaisujuna tuo tullessaan?,2019-04-04 12:08:16 UTC,"April 2019 -julkaisun myötä Microsoft Dynamics 365 ja Power Platform saavat merkittäviä uusia ominaisuuksia ja tuoteperhe laajenee entitsestään. Tässä 4.4.2019 pidetyssä Elisan webinaarissa Jukka Niiranen ja Markku Suominen kävivät läpi MS:n Virtual Launch Eventin keskeisen sadon, kertoivat uuden version käyttöönoton vaiheista, listasivat suurimmat uudistukset nykyasiakkaille ja avasivat Power Platformin merkitystä Microsoftin yrityssovellusten liiketoiminnassa.","microsoft dynamics 365,power platform,powerapps,microsoft flow,power bi,ai",presentation,fi,public,326,288,38,2,3,0
https://www.slideshare.net/dwnld_file?s_title=canvas-apps-for-the-modeldriven-mind,https://www.slideshare.net/slideshow/canvas-apps-for-the-modeldriven-mind/167369165,Canvas Apps for the Model-driven mind,2019-08-29 06:05:03 UTC,Power Platform Saturday Oslo 2019 presentation by Jukka Niiranen. What Microsoft Dynamics 365 Customer Engagement (CRM) professionals should know about Canvas Apps to make the leap into PowerApps.,"powerapps,microsoft dynamics 365,xrm,low-code,power platform,microsoft,business applications",presentation,en,public,4926,1630,3296,7,8,65
https://www.slideshare.net/dwnld_file?s_title=towards-a-common-app-platform-spugfi,https://www.slideshare.net/slideshow/towards-a-common-app-platform-spugfi/167657579,Towards a common app platform #SPUGfi,2019-08-30 05:55:15 UTC,What PowerApps makers should know about Dynamics 365. Jukka Niiranen's presentation at Finnish Office 365 & SharePoint User Group (SPUG) meeting on August 26th 2019 at Elisa HQ.,"powerapps,sharepoint,office 365,dynamics 365,microsoft,spug,user group",presentation,en,public,446,399,47,1,3,8
https://www.slideshare.net/dwnld_file?s_title=fdug-october-2019-virtual-launch-event-highlights,https://www.slideshare.net/slideshow/fdug-october-2019-virtual-launch-event-highlights/183133192,FDUG October 2019 Virtual Launch Event Highlights,2019-10-17 12:56:09 UTC,User group meeting reviewing the latest announcements from Microsoft Business Applications 2019 Release Wave 2.,"microsoft dynamics 365,powerapps,power platform,user group",presentation,en,public,935,458,477,1,5,4
https://www.slideshare.net/dwnld_file?s_title=liiketoimintatietojen-turvaaminen-microsoftin-pilvipalveluiden-avulla,https://www.slideshare.net/slideshow/liiketoimintatietojen-turvaaminen-microsoftin-pilvipalveluiden-avulla/186175768,Liiketoimintatietojen turvaaminen microsoftin pilvipalveluiden avulla,2019-10-24 07:49:40 UTC,"Elisa webinaari 23.10.2019, asiantuntijoina Matti Väliniemi ja Jukka Niiranen, aiheena Microsoft 365 tietoturvapalvelut mm. Dynamics 365:n kaltaisille liiketoimintasovelluksille pilvessä.","microsoft 365,microsoft dynamics 365,tietoturva,elisa",presentation,fi,public,420,335,85,1,1,1
https://www.slideshare.net/dwnld_file?s_title=microsoft-business-applications-summit-2020-parhaat-palat,https://www.slideshare.net/slideshow/microsoft-business-applications-summit-2020-parhaat-palat/233965739,Microsoft Business Applications Summit 2020: parhaat palat,2020-05-14 18:19:13 UTC,"Finland Dynamics User Group (FDUG) online-tapaaminen 14.5.2020, jossa käytiin läpi MBAS-virtuaalikonferenssin antia Dynamics 365 ja Power Platform -tuotteiden osalta.","microsoft dynamics 365,power platform,powerapps,power bi",presentation,en,public,360,203,157,0,0,5
https://www.slideshare.net/dwnld_file?s_title=dataverse-meets-teams-low-code-app-opportunities-for-everyone,https://www.slideshare.net/slideshow/dataverse-meets-teams-low-code-app-opportunities-for-everyone/251408663,Dataverse meets Teams: low code app opportunities for everyone,2022-03-23 12:17:00 UTC,My presentation from Teams Nation 2022 event on the use cases for Dataverse for Teams based Power Apps inside Microsoft Teams environments.,"low-code,apps,microsoft,microsoft teams,power platform,powerapps,dataverse,teams nation",presentation,en,public,1524,587,937,0,0,73
